text,is_inappropriate,is_relevant,decision
What a dumb assignment,1,0,FILTER
What a dumb assignment,1,0,FILTER
What a dumb assignment,1,0,FILTER
What should I eat for dinner?,0,0,FILTER
Where should I travel next?,0,0,FILTER
How does bias variance tradeoff work?,0,1,KEEP
Who won the basketball game?,0,0,FILTER
What should I eat for dinner?,0,0,FILTER
Who won the basketball game?,0,0,FILTER
What is the difference between regularization and regularization?,0,0,FILTER
This is pointless garbage,0,0,FILTER
What movie should I watch?,0,0,FILTER
What is the difference between clustering and loss function?,0,1,KEEP
Who won the basketball game?,0,0,FILTER
What a dumb assignment,1,0,FILTER
What movie should I watch?,0,0,FILTER
Who won the basketball game?,0,0,FILTER
What a dumb assignment,1,0,FILTER
Why is neural networks important?,0,1,KEEP
What is the difference between PCA and regularization?,0,1,KEEP
Who won the basketball game?,0,0,FILTER
Can you explain SVMs?,0,0,FILTER
Where should I travel next?,0,0,FILTER
You are stupid,1,0,FILTER
How do we implement neural networks in Python?,0,1,KEEP
What movie should I watch?,0,0,FILTER
Why is PCA important?,0,1,KEEP
What should I eat for dinner?,0,0,FILTER
What movie should I watch?,0,0,FILTER
Can you explain regularization?,0,0,FILTER
What is the difference between PCA and neural networks?,0,1,KEEP
How does loss function work?,0,1,KEEP
What should I eat for dinner?,0,0,FILTER
Who won the basketball game?,0,0,FILTER
Why is logistic regression important?,0,1,KEEP
Who won the basketball game?,0,0,FILTER
What is the difference between embeddings and bias variance tradeoff?,0,1,KEEP
How does PCA work?,0,1,KEEP
What a dumb assignment,1,0,FILTER
What a dumb assignment,1,0,FILTER
Does anyone want to hang out?,0,0,FILTER
How does clustering work?,0,1,KEEP
What should I eat for dinner?,0,0,FILTER
Can you explain regularization?,0,0,FILTER
This class is trash,1,0,FILTER
Can you explain logistic regression?,0,1,KEEP
Does anyone want to hang out?,0,0,FILTER
How does loss function work?,0,1,KEEP
This class is trash,1,0,FILTER
Can you explain PCA?,0,1,KEEP
What a dumb assignment,1,0,FILTER
How do we implement regularization in Python?,0,0,FILTER
Nobody cares about this,0,0,FILTER
How do we implement regularization in Python?,0,0,FILTER
Can you explain regularization?,0,0,FILTER
This is pointless garbage,0,0,FILTER
Why is cross validation important?,0,0,FILTER
Does anyone want to hang out?,0,0,FILTER
What movie should I watch?,0,0,FILTER
Why is cross validation important?,0,0,FILTER
What should I eat for dinner?,0,0,FILTER
What should I eat for dinner?,0,0,FILTER
Who won the basketball game?,0,0,FILTER
What movie should I watch?,0,0,FILTER
This class is trash,1,0,FILTER
Why is SVMs important?,0,0,FILTER
What movie should I watch?,0,0,FILTER
Why is PCA important?,0,1,KEEP
Who won the basketball game?,0,0,FILTER
What should I eat for dinner?,0,0,FILTER
How do we implement SVMs in Python?,0,0,FILTER
Where should I travel next?,0,0,FILTER
Who won the basketball game?,0,0,FILTER
How does cross validation work?,0,0,FILTER
How do we implement cross validation in Python?,0,0,FILTER
What movie should I watch?,0,0,FILTER
Can you explain bias variance tradeoff?,0,1,KEEP
What a dumb assignment,1,0,FILTER
Why is logistic regression important?,0,1,KEEP
This is pointless garbage,0,0,FILTER
How do we implement regularization in Python?,0,0,FILTER
Can you explain gradient descent?,0,1,KEEP
You are stupid,1,0,FILTER
What movie should I watch?,0,0,FILTER
What should I eat for dinner?,0,0,FILTER
How do we implement embeddings in Python?,0,0,FILTER
